brand,brand_key,Category,category_key,Vertical,Vertical_key,Product_key
GE,100,cooking appliances Over the counter,1000,appliances,9000,abcd100
GE,100,cooking appliances,1000,appliances,9000,abcd300
GE_new,200,microwave,2000,appliances,7000,hello400
Sharp_ext,200,Wall Mounted Televison ,2000,electronics,8000,200efgh
Sharp,200,television,2000,electronics,8000,400efgh
LG,300,refrigerators,3000,appliances,7000,part150
LG_new,300,refrigerators_new,3000,appliances_new,7000,part300
LG,300,refrigerators,3000,appliances,7000,part450
Panasonic,400,,4000,appliances,6000,cart800
Panasonic,400,dvd player,4000,appliances,6000,cart1600
Panasonic,400,dvd player,4000,,6000,cart1800
Panasonic,400,dvd player,4000,appliances,6000,cart2400
